Order_ID,Order_Date,SKU,Supplier_ID,Warehouse_ID,Units_Sold,Unit_Price,Unit_Cost,Delivery_Date
ORD00024,12/31/2024,SKU119,SUP09,WH4,15,117.27,68.45,1/7/2025
ORD00025,1/21/2024,SKU072,SUP10,WH1,18,186.88,120.22,1/29/2024
ORD00026,12/8/2024,SKU042,SUP07,WH1,35,244.74,194.5,12/15/2024
ORD00027,12/14/2024,SKU046,SUP02,WH2,21,96.21,63.67,12/19/2024
ORD00028,12/11/2024,SKU017,SUP10,WH3,5,169.27,128.51,12/18/2024
ORD00029,12/28/2024,SKU016,SUP11,WH2,34,243.14,162.58,1/5/2025
ORD00030,1/1/2024,SKU089,SUP04,WH1,49,248.15,164.36,1/14/2024
ORD00031,6/27/2024,SKU033,SUP13,WH4,5,118.94,86.4,7/10/2024
ORD00032,1/23/2024,SKU077,SUP04,WH1,1,166.94,130.81,1/31/2024
ORD00033,1/22/2024,SKU074,SUP09,WH4,47,10.06,8.23,1/29/2024
ORD00034,6/29/2024,SKU090,SUP12,WH4,5,157.86,113.26,7/10/2024
ORD00035,5/27/2024,SKU015,SUP05,WH3,21,288.03,186.29,6/10/2024
ORD00036,7/27/2024,SKU061,SUP12,WH4,5,83.23,51.34,8/9/2024
ORD00037,10/31/2024,SKU003,SUP01,WH1,43,17.75,11.13,11/10/2024
ORD00038,3/20/2024,SKU045,SUP04,WH4,38,130.92,101.96,3/26/2024
ORD00039,9/22/2024,SKU029,SUP15,WH2,17,239.68,164.51,9/26/2024
ORD00040,7/1/2024,SKU061,SUP14,WH2,10,83.23,51.34,7/4/2024
ORD00041,3/10/2024,SKU064,SUP07,WH2,34,179.98,128.3,3/19/2024
ORD00042,5/15/2024,SKU037,SUP03,WH1,42,245.85,188.87,5/22/2024
ORD00043,1/12/2024,SKU027,SUP01,WH2,43,59.8,49.45,1/19/2024
ORD00044,2/16/2024,SKU009,SUP09,WH3,31,151.66,85.02,2/23/2024
ORD00045,10/14/2024,SKU032,SUP02,WH1,31,179.05,104.6,10/22/2024
ORD00046,8/6/2024,SKU091,SUP15,WH3,45,181.6,108.28,8/7/2024
ORD00047,7/17/2024,SKU115,SUP14,WH3,31,159.7,132.13,7/27/2024
ORD00048,1/17/2024,SKU035,SUP10,WH3,36,48.53,28.37,1/21/2024
ORD00049,10/25/2024,SKU106,SUP11,WH4,3,246.53,180.22,11/9/2024
ORD00050,12/24/2024,SKU037,SUP05,WH1,45,245.85,188.87,1/6/2025
ORD00051,2/22/2024,SKU110,SUP02,WH1,8,210.58,134.38,2/24/2024
ORD00052,1/8/2024,SKU058,SUP14,WH2,38,78.35,52.2,1/15/2024
ORD00053,1/8/2024,SKU092,SUP15,WH2,20,71.07,52.16,1/17/2024
ORD00054,6/12/2024,SKU094,SUP10,WH1,43,224.42,179.96,6/18/2024
ORD00055,2/7/2024,SKU119,SUP05,WH4,21,117.27,68.45,2/13/2024
ORD00056,1/15/2024,SKU117,SUP02,WH1,46,176.62,143.87,1/30/2024
ORD00057,1/22/2024,SKU074,SUP13,WH4,14,10.06,8.23,1/29/2024
ORD00058,5/18/2024,SKU098,SUP13,WH1,9,118.25,73.1,5/31/2024
ORD00059,12/18/2024,SKU025,SUP14,WH3,9,117.2,67.01,12/30/2024
ORD00060,12/29/2024,SKU102,SUP01,WH3,4,212.08,157.08,1/4/2025
ORD00061,3/8/2024,SKU117,SUP08,WH3,49,176.62,143.87,3/22/2024
ORD00062,3/9/2024,SKU068,SUP11,WH1,22,205.08,167.88,3/19/2024
ORD00063,7/3/2024,SKU013,SUP08,WH1,43,103.13,61.5,7/12/2024
ORD00064,10/19/2024,SKU017,SUP14,WH2,32,169.27,128.51,10/28/2024
ORD00065,10/3/2024,SKU101,SUP02,WH4,26,230.28,177.98,10/13/2024
ORD00066,2/29/2024,SKU078,SUP02,WH2,25,59.02,39,3/9/2024
ORD00067,6/19/2024,SKU032,SUP10,WH1,23,179.05,104.6,6/23/2024
ORD00068,4/13/2024,SKU094,SUP07,WH4,14,224.42,179.96,4/20/2024
ORD00069,5/19/2024,SKU082,SUP14,WH4,39,39.81,31.82,5/27/2024
ORD00070,10/20/2024,SKU097,SUP15,WH2,13,121,71.11,10/27/2024
ORD00071,7/27/2024,SKU096,SUP09,WH4,16,228.33,128.45,8/9/2024
ORD00072,8/6/2024,SKU021,SUP10,WH2,39,284.2,179.05,8/18/2024
ORD00073,2/24/2024,SKU088,SUP11,WH3,44,238.72,133.7,2/29/2024
ORD00074,11/18/2024,SKU030,SUP13,WH3,22,307.65,172.84,11/28/2024
ORD00075,6/23/2024,SKU030,SUP10,WH2,35,307.65,172.84,7/2/2024
ORD00076,4/30/2024,SKU112,SUP01,WH3,17,49.04,36.36,5/5/2024
ORD00077,2/5/2024,SKU036,SUP03,WH2,43,98.46,70.83,2/13/2024
ORD00078,4/20/2024,SKU025,SUP09,WH3,8,117.2,67.01,5/4/2024
ORD00079,7/27/2024,SKU016,SUP05,WH4,13,243.14,162.58,8/7/2024
ORD00080,8/9/2024,SKU086,SUP01,WH4,7,278.64,176.08,8/15/2024
ORD00081,1/29/2024,SKU032,SUP06,WH1,38,179.05,104.6,2/6/2024
ORD00082,11/11/2024,SKU092,SUP14,WH1,9,71.07,52.16,11/23/2024
ORD00083,1/23/2024,SKU006,SUP13,WH2,33,147.99,104.17,2/2/2024
ORD00084,6/29/2024,SKU003,SUP10,WH3,42,17.75,11.13,7/3/2024
ORD00085,8/1/2024,SKU073,SUP03,WH4,30,167.07,137.13,8/6/2024
ORD00086,7/18/2024,SKU052,SUP01,WH3,10,81.66,59.34,7/26/2024
ORD00087,2/27/2024,SKU103,SUP09,WH1,27,199.15,130.2,3/11/2024
ORD00088,12/3/2024,SKU044,SUP01,WH4,39,97.06,54.1,12/14/2024
ORD00089,5/11/2024,SKU009,SUP12,WH2,19,151.66,85.02,5/25/2024
ORD00090,8/24/2024,SKU003,SUP05,WH1,24,17.75,11.13,9/2/2024
ORD00091,5/7/2024,SKU045,SUP02,WH3,6,130.92,101.96,5/18/2024
ORD00092,7/20/2024,SKU115,SUP12,WH1,28,159.7,132.13,8/2/2024
ORD00093,6/17/2024,SKU116,SUP04,WH4,43,61.87,48.73,6/28/2024
ORD00094,6/10/2024,SKU080,SUP06,WH4,7,106.9,80.41,6/17/2024
ORD00095,11/16/2024,SKU077,SUP03,WH4,7,166.94,130.81,11/22/2024
ORD00096,1/18/2024,SKU060,SUP15,WH2,18,244.09,153.52,1/19/2024
ORD00097,4/28/2024,SKU002,SUP15,WH1,17,44.52,26.04,4/30/2024
ORD00098,3/3/2024,SKU082,SUP14,WH3,30,39.81,31.82,3/9/2024
ORD00099,2/11/2024,SKU037,SUP10,WH2,34,245.85,188.87,2/24/2024
ORD00100,11/10/2024,SKU071,SUP09,WH4,42,17.77,12.95,11/20/2024
ORD00101,9/3/2024,SKU105,SUP04,WH1,5,58.29,36.52,9/10/2024
ORD00102,4/16/2024,SKU100,SUP02,WH4,8,234.64,179.94,4/24/2024
ORD00103,3/27/2024,SKU048,SUP09,WH1,43,20.05,12.19,4/2/2024
ORD00104,5/13/2024,SKU113,SUP13,WH4,33,158.32,112,5/23/2024
ORD00105,12/12/2024,SKU056,SUP07,WH2,12,175.56,100.44,12/16/2024
ORD00106,6/2/2024,SKU092,SUP06,WH3,44,71.07,52.16,6/14/2024
ORD00107,4/29/2024,SKU105,SUP15,WH4,26,58.29,36.52,5/3/2024
ORD00108,2/3/2024,SKU044,SUP03,WH3,14,97.06,54.1,2/14/2024
ORD00109,1/31/2024,SKU119,SUP02,WH2,24,117.27,68.45,2/10/2024
ORD00110,2/25/2024,SKU007,SUP13,WH1,40,247.33,181.98,3/4/2024
ORD00111,10/3/2024,SKU012,SUP09,WH1,42,31.59,20.01,10/10/2024
ORD00112,5/30/2024,SKU034,SUP03,WH3,30,69.13,48.31,6/10/2024
ORD00113,4/2/2024,SKU088,SUP15,WH2,45,238.72,133.7,4/11/2024
ORD00114,11/24/2024,SKU066,SUP11,WH1,1,137.55,109.48,12/1/2024
ORD00115,1/1/2024,SKU057,SUP09,WH2,23,297.14,197.2,1/8/2024
ORD00116,4/14/2024,SKU081,SUP10,WH2,36,295.33,187.66,4/23/2024
ORD00117,11/4/2024,SKU031,SUP06,WH4,14,11.31,6.36,11/18/2024
ORD00118,12/6/2024,SKU040,SUP05,WH3,41,229.85,142.09,12/12/2024
ORD00119,8/25/2024,SKU119,SUP13,WH3,19,117.27,68.45,8/28/2024
ORD00120,2/4/2024,SKU084,SUP10,WH4,42,41.21,27.13,2/10/2024
ORD00121,7/18/2024,SKU014,SUP06,WH4,5,54.72,36.44,7/22/2024
ORD00122,11/12/2024,SKU097,SUP07,WH2,46,121,71.11,11/18/2024
ORD00123,11/19/2024,SKU106,SUP01,WH1,5,246.53,180.22,11/30/2024
ORD00124,2/21/2024,SKU097,SUP15,WH3,13,121,71.11,2/27/2024
ORD00125,8/6/2024,SKU057,SUP03,WH4,35,297.14,197.2,8/15/2024
ORD00126,3/14/2024,SKU109,SUP04,WH1,27,37.99,24.79,3/21/2024
ORD00127,5/26/2024,SKU032,SUP12,WH2,24,179.05,104.6,6/10/2024
ORD00128,5/7/2024,SKU118,SUP05,WH2,2,62.76,51.26,5/11/2024
ORD00129,11/26/2024,SKU119,SUP13,WH1,11,117.27,68.45,12/4/2024
ORD00130,1/11/2024,SKU097,SUP09,WH2,11,121,71.11,1/14/2024
ORD00131,8/20/2024,SKU099,SUP04,WH3,34,211.83,146.56,8/28/2024
ORD00132,4/3/2024,SKU077,SUP13,WH2,19,166.94,130.81,4/16/2024
ORD00133,4/15/2024,SKU035,SUP12,WH4,7,48.53,28.37,4/24/2024
ORD00134,5/25/2024,SKU005,SUP09,WH3,19,83.29,66.3,6/5/2024
ORD00135,10/14/2024,SKU031,SUP04,WH1,31,11.31,6.36,10/22/2024
ORD00136,11/3/2024,SKU021,SUP04,WH2,2,284.2,179.05,11/14/2024
ORD00137,4/18/2024,SKU003,SUP14,WH3,14,17.75,11.13,4/25/2024
ORD00138,12/28/2024,SKU113,SUP10,WH4,46,158.32,112,1/6/2025
ORD00139,1/16/2024,SKU120,SUP12,WH1,10,244.25,150.57,1/25/2024
ORD00140,9/10/2024,SKU062,SUP13,WH2,35,246.59,147,9/13/2024
ORD00141,11/1/2024,SKU059,SUP14,WH4,21,228.46,136.07,11/11/2024
ORD00142,9/21/2024,SKU084,SUP13,WH2,43,41.21,27.13,9/25/2024
ORD00143,4/17/2024,SKU058,SUP01,WH4,6,78.35,52.2,5/1/2024
ORD00144,3/27/2024,SKU109,SUP06,WH2,15,37.99,24.79,4/7/2024
ORD00145,2/12/2024,SKU047,SUP12,WH4,23,104.52,60.54,2/16/2024
ORD00146,12/30/2024,SKU036,SUP04,WH2,34,98.46,70.83,1/2/2025
ORD00147,12/29/2024,SKU019,SUP02,WH3,34,221.31,161.72,1/5/2025
ORD00148,12/26/2024,SKU019,SUP04,WH2,13,221.31,161.72,1/2/2025
ORD00149,6/22/2024,SKU088,SUP03,WH2,1,238.72,133.7,6/27/2024
ORD00150,2/29/2024,SKU075,SUP03,WH2,12,177.59,104.86,3/8/2024
ORD00151,8/28/2024,SKU109,SUP04,WH3,17,37.99,24.79,9/7/2024
ORD00152,2/14/2024,SKU013,SUP01,WH2,40,103.13,61.5,2/20/2024
ORD00153,3/20/2024,SKU108,SUP09,WH2,13,11.15,6.79,3/23/2024
ORD00154,7/26/2024,SKU076,SUP10,WH3,23,69.63,49.17,8/7/2024
ORD00155,1/26/2024,SKU004,SUP11,WH2,18,198.94,129.1,2/5/2024
ORD00156,1/7/2024,SKU053,SUP03,WH1,11,306.97,182.11,1/11/2024
ORD00157,6/6/2024,SKU010,SUP12,WH1,44,218.72,152.33,6/13/2024
ORD00158,4/25/2024,SKU027,SUP06,WH1,30,59.8,49.45,4/30/2024
ORD00159,2/28/2024,SKU068,SUP06,WH1,37,205.08,167.88,3/7/2024
ORD00160,8/29/2024,SKU017,SUP03,WH4,48,169.27,128.51,9/10/2024
ORD00161,12/20/2024,SKU018,SUP10,WH3,42,285.74,174.93,12/29/2024
ORD00162,9/12/2024,SKU005,SUP12,WH3,20,83.29,66.3,9/17/2024
ORD00163,7/24/2024,SKU111,SUP14,WH1,6,8.7,5.99,7/26/2024
ORD00164,8/23/2024,SKU076,SUP05,WH2,33,69.63,49.17,9/2/2024
ORD00165,7/13/2024,SKU079,SUP03,WH4,26,232.23,139.73,7/16/2024
ORD00166,8/20/2024,SKU114,SUP15,WH2,24,231.53,139.92,8/29/2024
ORD00167,1/21/2024,SKU116,SUP10,WH3,35,61.87,48.73,1/26/2024
ORD00168,12/20/2024,SKU008,SUP13,WH4,44,72.18,53.61,1/1/2025
ORD00169,1/23/2024,SKU040,SUP04,WH4,18,229.85,142.09,2/1/2024
ORD00170,5/25/2024,SKU113,SUP07,WH3,20,158.32,112,5/28/2024
ORD00171,1/11/2024,SKU102,SUP05,WH1,14,212.08,157.08,1/25/2024
ORD00172,10/4/2024,SKU115,SUP06,WH3,7,159.7,132.13,10/11/2024
ORD00173,8/6/2024,SKU038,SUP14,WH2,26,104.35,68.02,8/13/2024
ORD00174,2/14/2024,SKU073,SUP07,WH3,38,167.07,137.13,2/27/2024
ORD00175,12/14/2024,SKU063,SUP12,WH4,8,133.03,76.72,12/22/2024
ORD00176,3/26/2024,SKU067,SUP10,WH2,1,34.98,22.61,4/1/2024
ORD00177,6/14/2024,SKU022,SUP12,WH2,41,143.91,110.17,6/24/2024
ORD00178,7/2/2024,SKU083,SUP04,WH4,10,88.03,71.51,7/7/2024
ORD00179,11/21/2024,SKU062,SUP04,WH3,33,246.59,147,12/2/2024
ORD00180,2/18/2024,SKU050,SUP12,WH2,11,167.05,103.02,2/20/2024
ORD00181,12/12/2024,SKU095,SUP13,WH3,11,219.44,180.58,12/21/2024
ORD00182,11/16/2024,SKU003,SUP08,WH4,36,17.75,11.13,11/28/2024
ORD00183,7/23/2024,SKU028,SUP02,WH4,3,155.12,88.29,7/28/2024
ORD00184,12/30/2024,SKU042,SUP12,WH4,10,244.74,194.5,1/7/2025
ORD00185,11/2/2024,SKU049,SUP14,WH3,3,200.45,123.87,11/14/2024
ORD00186,12/31/2024,SKU104,SUP06,WH2,27,34.87,21.41,1/12/2025
ORD00187,9/5/2024,SKU071,SUP04,WH4,15,17.77,12.95,9/11/2024
ORD00188,12/13/2024,SKU046,SUP11,WH4,43,96.21,63.67,12/24/2024
ORD00189,5/9/2024,SKU119,SUP14,WH1,27,117.27,68.45,5/16/2024
ORD00190,8/23/2024,SKU086,SUP11,WH4,16,278.64,176.08,8/30/2024
ORD00191,7/14/2024,SKU104,SUP03,WH3,46,34.87,21.41,7/25/2024
ORD00192,10/2/2024,SKU014,SUP13,WH4,22,54.72,36.44,10/12/2024
ORD00193,3/27/2024,SKU083,SUP02,WH1,20,88.03,71.51,4/5/2024
ORD00194,7/23/2024,SKU016,SUP03,WH3,42,243.14,162.58,7/27/2024
ORD00195,6/6/2024,SKU087,SUP15,WH3,40,90.45,55.3,6/16/2024
ORD00196,3/23/2024,SKU029,SUP05,WH3,40,239.68,164.51,4/2/2024
ORD00197,5/14/2024,SKU085,SUP10,WH4,47,282.5,185.32,5/28/2024
ORD00198,11/2/2024,SKU027,SUP13,WH1,41,59.8,49.45,11/6/2024
ORD00199,4/22/2024,SKU056,SUP08,WH3,23,175.56,100.44,5/5/2024
ORD00200,12/25/2024,SKU058,SUP07,WH4,35,78.35,52.2,12/29/2024
ORD00201,4/3/2024,SKU107,SUP03,WH3,49,218.51,123.25,4/8/2024
ORD00202,11/4/2024,SKU031,SUP10,WH2,17,11.31,6.36,11/11/2024
ORD00203,8/14/2024,SKU051,SUP01,WH2,31,21.29,15.04,8/23/2024
ORD00204,10/11/2024,SKU085,SUP10,WH4,12,282.5,185.32,10/22/2024
ORD00205,8/13/2024,SKU009,SUP13,WH4,35,151.66,85.02,8/17/2024
ORD00206,9/14/2024,SKU046,SUP04,WH1,24,96.21,63.67,9/17/2024
ORD00207,4/8/2024,SKU074,SUP05,WH2,37,10.06,8.23,4/11/2024
ORD00208,4/25/2024,SKU068,SUP12,WH3,28,205.08,167.88,5/3/2024
ORD00209,7/31/2024,SKU064,SUP09,WH4,38,179.98,128.3,8/6/2024
ORD00210,12/18/2024,SKU078,SUP14,WH3,40,59.02,39,12/21/2024
ORD00211,1/16/2024,SKU075,SUP04,WH2,50,177.59,104.86,1/20/2024
ORD00212,7/30/2024,SKU066,SUP05,WH4,42,137.55,109.48,8/9/2024
ORD00213,11/23/2024,SKU007,SUP15,WH1,38,247.33,181.98,12/3/2024
ORD00214,5/20/2024,SKU070,SUP15,WH2,10,63.11,41.37,5/27/2024
ORD00215,3/4/2024,SKU038,SUP13,WH3,25,104.35,68.02,3/6/2024
ORD00216,9/27/2024,SKU009,SUP14,WH2,38,151.66,85.02,10/3/2024
ORD00217,4/22/2024,SKU063,SUP01,WH2,10,133.03,76.72,5/2/2024
ORD00218,12/8/2024,SKU071,SUP09,WH1,48,17.77,12.95,12/15/2024
ORD00219,6/15/2024,SKU005,SUP09,WH4,44,83.29,66.3,6/20/2024
ORD00220,7/30/2024,SKU013,SUP15,WH3,41,103.13,61.5,8/5/2024
ORD00221,5/15/2024,SKU012,SUP09,WH2,7,31.59,20.01,5/23/2024
ORD00222,1/8/2024,SKU076,SUP05,WH3,38,69.63,49.17,1/14/2024
ORD00223,12/21/2024,SKU042,SUP11,WH1,43,244.74,194.5,1/2/2025
ORD00224,11/28/2024,SKU018,SUP12,WH1,36,285.74,174.93,12/1/2024
ORD00225,3/26/2024,SKU042,SUP04,WH1,29,244.74,194.5,4/5/2024
ORD00226,7/27/2024,SKU067,SUP06,WH2,41,34.98,22.61,8/8/2024
ORD00227,8/9/2024,SKU097,SUP04,WH1,39,121,71.11,8/19/2024
ORD00228,11/13/2024,SKU082,SUP08,WH1,43,39.81,31.82,11/21/2024
ORD00229,11/8/2024,SKU108,SUP13,WH4,5,11.15,6.79,11/15/2024
ORD00230,11/15/2024,SKU074,SUP15,WH3,28,10.06,8.23,11/25/2024
ORD00231,2/3/2024,SKU092,SUP10,WH1,24,71.07,52.16,2/13/2024
ORD00232,9/24/2024,SKU059,SUP02,WH1,31,228.46,136.07,10/2/2024
ORD00233,8/27/2024,SKU075,SUP03,WH4,4,177.59,104.86,9/6/2024
ORD00234,2/10/2024,SKU090,SUP12,WH1,39,157.86,113.26,2/20/2024
ORD00235,3/4/2024,SKU074,SUP15,WH2,41,10.06,8.23,3/6/2024
ORD00236,12/16/2024,SKU093,SUP15,WH2,26,33.89,23.16,12/28/2024
ORD00237,9/15/2024,SKU088,SUP10,WH2,27,238.72,133.7,9/22/2024
ORD00238,11/11/2024,SKU006,SUP09,WH2,41,147.99,104.17,11/24/2024
ORD00239,3/22/2024,SKU114,SUP02,WH3,8,231.53,139.92,3/28/2024
ORD00240,9/9/2024,SKU014,SUP14,WH3,35,54.72,36.44,9/17/2024
ORD00241,5/12/2024,SKU060,SUP07,WH3,22,244.09,153.52,5/16/2024
ORD00242,3/7/2024,SKU043,SUP11,WH2,7,302.32,192.68,3/14/2024
ORD00243,8/16/2024,SKU079,SUP03,WH3,3,232.23,139.73,8/25/2024
ORD00244,3/19/2024,SKU093,SUP09,WH2,7,33.89,23.16,4/2/2024
ORD00245,7/11/2024,SKU106,SUP09,WH2,31,246.53,180.22,7/15/2024
ORD00246,2/6/2024,SKU083,SUP04,WH4,40,88.03,71.51,2/15/2024
ORD00247,10/31/2024,SKU073,SUP09,WH1,5,167.07,137.13,11/8/2024
ORD00248,6/27/2024,SKU007,SUP04,WH4,7,247.33,181.98,7/3/2024
ORD00249,9/30/2024,SKU094,SUP09,WH2,23,224.42,179.96,10/10/2024
ORD00250,10/28/2024,SKU102,SUP05,WH3,29,212.08,157.08,11/6/2024
ORD00251,5/28/2024,SKU075,SUP10,WH2,34,177.59,104.86,6/3/2024
ORD00252,4/17/2024,SKU082,SUP14,WH1,43,39.81,31.82,4/23/2024
ORD00253,9/30/2024,SKU089,SUP09,WH1,35,248.15,164.36,10/9/2024
ORD00254,5/15/2024,SKU037,SUP14,WH3,27,245.85,188.87,5/21/2024
ORD00255,5/31/2024,SKU080,SUP02,WH2,31,106.9,80.41,6/7/2024
ORD00256,2/23/2024,SKU108,SUP03,WH4,30,11.15,6.79,3/5/2024
ORD00257,12/25/2024,SKU115,SUP05,WH3,43,159.7,132.13,1/1/2025
ORD00258,7/16/2024,SKU067,SUP02,WH1,46,34.98,22.61,7/27/2024
ORD00259,1/15/2024,SKU064,SUP14,WH2,47,179.98,128.3,1/29/2024
ORD00260,4/1/2024,SKU030,SUP13,WH1,24,307.65,172.84,4/4/2024
ORD00261,11/4/2024,SKU034,SUP03,WH3,23,69.13,48.31,11/15/2024
ORD00262,3/13/2024,SKU037,SUP03,WH2,28,245.85,188.87,3/24/2024
ORD00263,5/1/2024,SKU073,SUP01,WH4,48,167.07,137.13,5/10/2024
ORD00264,6/26/2024,SKU004,SUP08,WH3,49,198.94,129.1,7/5/2024
ORD00265,12/8/2024,SKU034,SUP01,WH2,43,69.13,48.31,12/17/2024
ORD00266,5/25/2024,SKU028,SUP14,WH4,9,155.12,88.29,6/1/2024
ORD00267,2/27/2024,SKU041,SUP15,WH2,48,117.06,75.91,3/4/2024
ORD00268,4/22/2024,SKU028,SUP07,WH1,2,155.12,88.29,5/2/2024
ORD00269,8/22/2024,SKU033,SUP13,WH3,19,118.94,86.4,8/25/2024
ORD00270,5/29/2024,SKU037,SUP13,WH3,21,245.85,188.87,6/1/2024
ORD00271,3/28/2024,SKU058,SUP14,WH3,17,78.35,52.2,4/4/2024
ORD00272,1/30/2024,SKU017,SUP13,WH4,39,169.27,128.51,2/2/2024
ORD00273,3/27/2024,SKU041,SUP15,WH4,35,117.06,75.91,4/8/2024
ORD00274,5/30/2024,SKU012,SUP09,WH3,43,31.59,20.01,6/7/2024
ORD00275,6/1/2024,SKU005,SUP03,WH2,2,83.29,66.3,6/10/2024
ORD00276,3/26/2024,SKU052,SUP14,WH1,26,81.66,59.34,4/4/2024
ORD00277,4/13/2024,SKU021,SUP10,WH1,33,284.2,179.05,4/26/2024
ORD00278,3/20/2024,SKU037,SUP05,WH3,9,245.85,188.87,4/1/2024
ORD00279,6/24/2024,SKU047,SUP04,WH2,20,104.52,60.54,7/6/2024
ORD00280,11/7/2024,SKU051,SUP15,WH3,28,21.29,15.04,11/18/2024
ORD00281,4/6/2024,SKU018,SUP05,WH2,10,285.74,174.93,4/18/2024
ORD00282,1/25/2024,SKU099,SUP10,WH2,44,211.83,146.56,2/3/2024
ORD00283,4/12/2024,SKU024,SUP09,WH4,2,318.56,179.74,4/25/2024
ORD00284,8/10/2024,SKU087,SUP12,WH4,36,90.45,55.3,8/16/2024
ORD00285,3/3/2024,SKU108,SUP04,WH3,46,11.15,6.79,3/14/2024
ORD00286,6/14/2024,SKU063,SUP05,WH2,6,133.03,76.72,6/22/2024
ORD00287,3/31/2024,SKU079,SUP14,WH4,4,232.23,139.73,4/7/2024
ORD00288,12/31/2024,SKU078,SUP14,WH3,35,59.02,39,1/8/2025
ORD00289,10/22/2024,SKU046,SUP08,WH2,40,96.21,63.67,11/3/2024
ORD00290,7/16/2024,SKU021,SUP05,WH1,45,284.2,179.05,7/23/2024
ORD00291,2/21/2024,SKU029,SUP08,WH4,26,239.68,164.51,2/24/2024
ORD00292,11/14/2024,SKU020,SUP07,WH2,50,50.26,41.38,11/23/2024
ORD00293,11/8/2024,SKU119,SUP02,WH2,50,117.27,68.45,11/13/2024
ORD00294,1/22/2024,SKU049,SUP15,WH3,49,200.45,123.87,2/2/2024
ORD00295,1/23/2024,SKU120,SUP02,WH4,38,244.25,150.57,2/6/2024
ORD00296,8/23/2024,SKU076,SUP12,WH2,36,69.63,49.17,8/31/2024
ORD00297,12/15/2024,SKU011,SUP05,WH3,36,86.1,49.62,12/25/2024
ORD00298,2/29/2024,SKU019,SUP01,WH3,5,221.31,161.72,3/10/2024
ORD00299,2/17/2024,SKU064,SUP06,WH4,19,179.98,128.3,2/19/2024
ORD00300,3/29/2024,SKU107,SUP02,WH3,9,218.51,123.25,4/9/2024
ORD00301,1/1/2024,SKU063,SUP08,WH2,41,133.03,76.72,1/7/2024
ORD00302,2/19/2024,SKU114,SUP05,WH3,20,231.53,139.92,3/1/2024
ORD00303,2/17/2024,SKU083,SUP05,WH1,18,88.03,71.51,2/24/2024
ORD00304,10/21/2024,SKU118,SUP12,WH3,6,62.76,51.26,11/3/2024
ORD00305,9/21/2024,SKU033,SUP02,WH2,10,118.94,86.4,9/22/2024
ORD00306,12/28/2024,SKU050,SUP06,WH1,32,167.05,103.02,1/10/2025
ORD00307,6/8/2024,SKU066,SUP10,WH2,33,137.55,109.48,6/18/2024
ORD00308,1/25/2024,SKU052,SUP05,WH2,13,81.66,59.34,2/1/2024
ORD00309,1/5/2024,SKU032,SUP12,WH4,15,179.05,104.6,1/16/2024
ORD00310,12/29/2024,SKU082,SUP13,WH4,9,39.81,31.82,1/2/2025
ORD00311,8/17/2024,SKU028,SUP15,WH1,31,155.12,88.29,8/21/2024
ORD00312,9/18/2024,SKU109,SUP12,WH4,22,37.99,24.79,9/20/2024
ORD00313,7/19/2024,SKU099,SUP15,WH3,26,211.83,146.56,7/30/2024
ORD00314,7/27/2024,SKU008,SUP11,WH2,17,72.18,53.61,8/5/2024
ORD00315,3/14/2024,SKU066,SUP01,WH1,44,137.55,109.48,3/17/2024
